Year,Title,Domestic,International,Worldwide,ImdbID,URL
1981,Ragtime,"$14,920,781",$0,"$14,920,781",tt0082970,https://www.boxofficemojo.com/release/rl4285171201/?ref_=bo_yld_table_55
1981,Nighthawks,"$14,905,359",$0,"$14,905,359",tt0082817,https://www.boxofficemojo.com/release/rl224888321/?ref_=bo_yld_table_21
1981,Dragonslayer,"$14,110,013",$159,"$14,110,172",tt0082288,https://www.boxofficemojo.com/release/rl1229882881/?ref_=bo_yld_table_22
1981,The Legend of the Lone Ranger,"$12,617,845",$0,"$12,617,845",tt0082648,https://www.boxofficemojo.com/release/rl593397249/?ref_=bo_yld_table_23
1981,Back Roads,"$11,809,387",$0,"$11,809,387",tt0082042,https://www.boxofficemojo.com/release/rl1967490561/?ref_=bo_yld_table_24
1981,Rollover,"$10,851,261",$0,"$10,851,261",tt0083006,https://www.boxofficemojo.com/release/rl2741798401/?ref_=bo_yld_table_41
1981,Wolfen,"$10,626,725",$0,"$10,626,725",tt0083336,https://www.boxofficemojo.com/release/rl3397092865/?ref_=bo_yld_table_25
1981,Prince of the City,"$8,124,257",$0,"$8,124,257",tt0082945,https://www.boxofficemojo.com/release/rl3798697473/?ref_=bo_yld_table_28
1981,The Funhouse,"$7,886,857",$0,"$7,886,857",tt0082427,https://www.boxofficemojo.com/release/rl2069202433/?ref_=bo_yld_table_29
1981,Student Bodies,"$5,165,432",$0,"$5,165,432",tt0083133,https://www.boxofficemojo.com/release/rl2171831809/?ref_=bo_yld_table_31
1981,All Night Long,"$4,454,295",$0,"$4,454,295",tt0082001,https://www.boxofficemojo.com/release/rl423855617/?ref_=bo_yld_table_32
1981,The Pursuit of D.B. Cooper,"$3,702,028",$0,"$3,702,028",tt0082958,https://www.boxofficemojo.com/release/rl1584039425/?ref_=bo_yld_table_36
1981,Zoot Suit,"$3,256,082",$0,"$3,256,082",tt0083365,https://www.boxofficemojo.com/release/rl679314945/?ref_=bo_yld_table_40
1981,Modern Romance,"$2,863,642",$0,"$2,863,642",tt0082764,https://www.boxofficemojo.com/release/rl895845889/?ref_=bo_yld_table_42
1981,The Hand,"$2,447,576",$0,"$2,447,576",tt0082497,https://www.boxofficemojo.com/release/rl559318529/?ref_=bo_yld_table_43
1981,Heartbeeps,"$2,154,696",$0,"$2,154,696",tt0082507,https://www.boxofficemojo.com/release/rl4250306049/?ref_=bo_yld_table_44
1981,This Is Elvis,"$2,028,612",$0,"$2,028,612",tt0083193,https://www.boxofficemojo.com/release/rl1383368193/?ref_=bo_yld_table_45
1981,Sphinx,"$2,022,771",$0,"$2,022,771",tt0083113,https://www.boxofficemojo.com/release/rl1064535553/?ref_=bo_yld_table_46
1981,Honky Tonk Freeway,"$2,004,742",$0,"$2,004,742",tt0082525,https://www.boxofficemojo.com/release/rl1062766081/?ref_=bo_yld_table_47
1981,Raggedy Man,"$1,976,198",$0,"$1,976,198",tt0082969,https://www.boxofficemojo.com/release/rl4251616769/?ref_=bo_yld_table_48
1981,King of the Mountain,"$1,791,147",$0,"$1,791,147",tt0082619,https://www.boxofficemojo.com/release/rl1180468737/?ref_=bo_yld_table_49
1981,Silence of the North,"$1,622,898",$0,"$1,622,898",tt0083079,https://www.boxofficemojo.com/release/rl1517389313/?ref_=bo_yld_table_51
1981,Eyes of a Stranger,"$1,118,634",$0,"$1,118,634",tt0082352,https://www.boxofficemojo.com/release/rl3041953281/?ref_=bo_yld_table_52
1981,Cattle Annie and Little Britches,"$534,816",$0,"$534,816",tt0082145,https://www.boxofficemojo.com/release/rl2202568193/?ref_=bo_yld_table_54
